タイトル,公開状況,公開日,更新日,ジャンル1,ジャンル2,びっくり度,グロ度,精神ダメージ,動物安否,映画公開年,上映時間（分）,URL
ヘレディタリー／継承,,2026-06-07,2026-06-07,カルト,心霊,4,4,5,注意,2018,127,https://motojiro888.github.io/bibiri-movie-club/reviews/hereditary/
ミッドサマー,,2026-06-07,2026-06-07,カルト,人怖,2,3,4,注意,2019,147,https://motojiro888.github.io/bibiri-movie-club/reviews/midsommar/
ボーはおそれている,,2026-06-07,2026-06-07,サイコ,ホラーコメディ,3,3,4,安全,2023,179,https://motojiro888.github.io/bibiri-movie-club/reviews/beau-is-afraid/
ゲットアウト,,2026-06-07,2026-06-07,スリラー,サイコ,2,2,4,安全,2017,104,https://motojiro888.github.io/bibiri-movie-club/reviews/get-out/
TALK TO ME,,2026-06-07,2026-06-07,オカルト,スリラー,2,3,3,注意,2022,95,https://motojiro888.github.io/bibiri-movie-club/reviews/talk-to-me/
聖なる鹿殺し,,2026-06-08,2026-06-08,サイコ,スリラー,2,2,4,注意,2017,121,https://motojiro888.github.io/bibiri-movie-club/reviews/the-killing-of-a-sacred-deer/
ラム,,2026-06-08,2026-06-08,オカルト,サイコ,2,2,3,注意,2021,106,https://motojiro888.github.io/bibiri-movie-club/reviews/lamb/
アス,,2026-06-08,2026-06-08,サイコ,スリラー,3,3,3,注意,2019,116,https://motojiro888.github.io/bibiri-movie-club/reviews/us/
エスター,,2026-06-08,2026-06-08,サイコ,スリラー,3,1,4,注意,2009,123,https://motojiro888.github.io/bibiri-movie-club/reviews/esther/
サスペリア,,2026-06-08,2026-06-08,オカルト,カルト,3,3,4,注意,1977,99,https://motojiro888.github.io/bibiri-movie-club/reviews/suspiria/
胸騒ぎ,,2026-06-08,2026-06-08,サイコ,スリラー,2,3,5,注意,2022,97,https://motojiro888.github.io/bibiri-movie-club/reviews/munasawagi/
スピーク・ノー・イーブル,,2026-06-08,2026-06-08,人怖,スリラー,3,2,3,注意,2024,110,https://motojiro888.github.io/bibiri-movie-club/reviews/speaknoevil/
イノセンツ,,2026-06-10,2026-06-10,SFホラー,胸糞,2,4,5,危険,2021,117,https://motojiro888.github.io/bibiri-movie-club/reviews/the-innocents/
トゥギャザー,,2026-06-10,2026-06-10,SF,ゴア,2,4,2,注意,2025,102,https://motojiro888.github.io/bibiri-movie-club/reviews/together/
スクリーム,,2026-06-10,2026-06-10,サイコ,ミステリー,3,2,2,安全,1996,111,https://motojiro888.github.io/bibiri-movie-club/reviews/scream/
最終絶叫計画,,2026-06-10,2026-06-10,ホラーコメディ,スリラー,1,2,1,安全,2000,88,https://motojiro888.github.io/bibiri-movie-club/reviews/scary-movie/
サブスタンス,,2026-06-10,2026-06-10,SFホラー,ゴア,2,5,3,安全,2024,141,https://motojiro888.github.io/bibiri-movie-club/reviews/substance/
シック・オブ・マイセルフ,,2026-06-10,2026-06-10,サイコ,胸糞,1,3,4,安全,2022,97,https://motojiro888.github.io/bibiri-movie-club/reviews/sick-of-myself/
スクリーム2,,2026-06-11,2026-06-11,スリラー,人怖,3,2,2,安全,1997,120,https://motojiro888.github.io/bibiri-movie-club/reviews/scream2/
デビルズ・バス,,2026-06-11,2026-06-11,カルト,胸糞,1,3,5,注意,2024,121,https://motojiro888.github.io/bibiri-movie-club/reviews/devils-bath/
アンチ・クライスト,,2026-06-14,2026-06-14,サイコ,カルト,2,5,5,危険,2009,108,https://motojiro888.github.io/bibiri-movie-club/reviews/antichrist/
インランド・エンパイア,,2026-06-14,2026-06-14,サイコ,カルト,3,1,5,安全,2006,180,https://motojiro888.github.io/bibiri-movie-club/reviews/inland-empire/
ソフト／クワイエット,,2026-06-14,2026-06-14,人怖,胸糞,2,3,5,安全,2022,92,https://motojiro888.github.io/bibiri-movie-club/reviews/soft-and-quiet/
ガール・ウィズ・ニードル,,2026-06-14,2026-06-14,胸糞,人怖,2,3,5,安全,2024,123,https://motojiro888.github.io/bibiri-movie-club/reviews/girl-with-needle/
マザー！,,2026-06-14,2026-06-14,カルト,胸糞,2,3,5,注意,2017,121,https://motojiro888.github.io/bibiri-movie-club/reviews/mother/
FRÉWAKA／フレワカ,,2026-06-14,2026-06-14,オカルト,カルト,2,2,4,安全,2024,103,https://motojiro888.github.io/bibiri-movie-club/reviews/frewaka/
ミーガン,,2026-06-14,2026-06-14,SFホラー,サイコ,3,2,2,注意,2023,102,https://motojiro888.github.io/bibiri-movie-club/reviews/m3gan/
スクリーム3,,2026-06-15,2026-06-15,人怖,スリラー,3,2,2,安全,2000,116,https://motojiro888.github.io/bibiri-movie-club/reviews/scream3/
